created_at,entry_id,field1,field2,field3
2026-07-14 05:01:25 UTC,276,24.10000,50.00000,100
2026-07-14 05:01:49 UTC,277,24.10000,51.00000,100
2026-07-14 05:02:13 UTC,278,24.10000,51.00000,100
2026-07-14 05:03:01 UTC,279,23.80000,51.00000,100
2026-07-14 05:03:26 UTC,280,23.80000,51.00000,100
2026-07-14 05:03:54 UTC,281,23.80000,52.00000,100
2026-07-14 05:04:19 UTC,282,23.80000,51.00000,100
2026-07-14 05:04:43 UTC,283,23.80000,51.00000,100
2026-07-14 05:05:07 UTC,284,23.80000,51.00000,100
2026-07-14 05:05:32 UTC,285,23.80000,51.00000,100
2026-07-14 05:05:56 UTC,286,23.80000,52.00000,100
2026-07-14 05:06:20 UTC,287,23.80000,53.00000,100
2026-07-14 05:06:44 UTC,288,23.80000,53.00000,100
2026-07-14 05:07:09 UTC,289,23.80000,52.00000,100
2026-07-14 05:07:33 UTC,290,23.80000,53.00000,100
2026-07-14 05:08:00 UTC,291,23.80000,52.00000,100
2026-07-14 05:08:24 UTC,292,24.10000,53.00000,100
2026-07-14 05:08:49 UTC,293,24.10000,52.00000,100
2026-07-14 05:09:13 UTC,294,24.10000,52.00000,100
